CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
3,"Norwest Bank Minnesota North, National Association",Minnesota,0,12/15/1879,9795,1047935,81605,6/30/2000
3,"Norwest Bank Ely, National Association",Minnesota,0,3/13/1907,54,40989,2730,3/31/1988
3,The Martin County National Bank of Fairmont,Minnesota,0,01/01/1875,1105,140980,17972,9/30/2003
3,"Norwest Bank Grand Rapids, National Association",Minnesota,0,01/01/1890,105,92665,4306,6/30/1988
3,Independence Bank Wauwatosa (N.A.),Wisconsin,0,5/15/1907,61,66823,5699,3/31/1985
21,"AMCORE Bank, Montello",Wisconsin,0,2/12/1900,672,68926,5118,9/30/1999
13,M&I Bank of Delavan,Wisconsin,0,01/01/1875,183,103640,15641,6/30/1997
21,Iron Exchange Bank,Wisconsin,0,11/22/1885,81,31472,2752,3/31/1989
21,Wayside State Bank,Wisconsin,0,9/26/1911,,,,
21,NBD Bank,Indiana,0,02/25/1872,3074,670604,78122,3/31/1999
21,"S & C Bank, Polk County",Wisconsin,0,8/3/1903,388,68128,6357,6/30/2001
21,RiverBank,Wisconsin,0,01/01/1894,4129,325028,27601,12/31/2006
21,Valley Bank of Belgrade,Montana,0,5/6/1902,528,56597,8111,12/31/2002
13,The Community Bank,Ohio,0,1/1/1909,,,,
21,Hanover Bank,Pennsylvania,0,9/11/1911,3337,290548,21261,12/31/1993
3,"BREMER BANK, NATIONAL ASSOCIATION",Minnesota,0,1/1/1935,1615,212255,14589,9/30/2005
21,Sovran Bank/Williamson County,Tennessee,0,01/01/1889,1886,339350,28603,6/30/1988
21,Sparta-Sanders State Bank,Kentucky,0,1/1/1900,,,,
21,The First Bankers of Indian River County,Florida,0,1/1/1934,515,143353,8711,3/31/1986
21,"Merchants and Farmers Bank of Comer, Georgia",Georgia,0,1/1/1934,685,163331,37624,9/30/2009
21,The Terra Alta Bank,West Virginia,0,10/21/1891,632,75171,7528,9/30/2005
13,First of America Bank-Ann Arbor,Michigan,0,2/15/1936,8668,580226,40038,12/31/1988
21,"Bank of Speedwell, Inc.",Virginia,0,1/1/1907,1309,107901,9521,9/30/1991
21,Grayson County State Bank,Texas,0,3/14/1936,623,98472,5805,9/30/1994
13,Security State Bank,Iowa,0,1/1/1935,1059,38799,2615,9/30/2002
21,First Service Bank,Texas,0,1/14/1935,2431,319060,26976,12/31/1998
13,First Bank North,Illinois,0,5/2/1936,528,220635,16683,3/31/1997
21,"The Farmers and Merchants State Bank, Effingham, Kansas",Kansas,0,6/5/1905,165,23986,2469,6/30/1999
3,LaSalle Bank National Association,Illinois,0,10/10/1936,144173,63388382,14943955,9/30/2008
21,Union Planters Bank of North Central Tennessee,Tennessee,0,3/15/1904,630,51665,5079,12/31/1997
21,Commercial Bank,Nebraska,0,01/01/1887,66,16063,1670,6/30/2003
21,First Bank and Trust Company,Iowa,0,1/16/1932,601,62653,4882,12/31/1998
13,MidSouth Bank,Arkansas,0,1/1/1937,-768,300180,25600,6/30/2003
21,The Guaranty Deposit Bank,Kentucky,0,5/16/1936,479,34284,2353,12/31/1989
3,"NationsBank of Florida, N.A.",Florida,0,3/17/1937,176928,21588711,1692017,9/30/1995
21,Fort Gaines Banking Company,Georgia,0,7/18/1934,88,16778,1891,12/31/1984
21,Kansas State Bank,Kansas,0,1/1/1937,1267,95930,7609,12/31/2001
3,City National Bank of Miami,Florida,0,5/26/1937,2582,485771,35162,3/31/1987
3,"GoldenBank, National Association",Colorado,0,1/1/1937,-1397,249916,16801,6/30/1995
21,Wesbanco Bank Elizabeth,West Virginia,0,1/1/1900,458,28271,3438,9/30/1995
3,Community First National Bank of Marshall,Minnesota,0,6/20/1903,836,69404,4640,12/31/1994
21,The Farmers Exchange Bank,Ohio,0,7/1/1937,,,,
21,La Fontaine Bank,Indiana,0,01/01/1893,,,,
21,Union Bank,Texas,0,7/19/1937,-3015,84877,-1476,9/30/1991
21,Boatmen's Bank of Franklin County,Illinois,0,8/2/1937,524,180308,37666,3/31/1997
3,"Texas Commerce Bank - Arlington, National Association",Texas,0,8/2/1937,-461,325473,17859,3/31/1991
21,The Bank of Commerce,Kansas,0,06/03/1896,33,8385,1030,6/30/2004
21,First Commercial Bank of Southeast Missouri,Missouri,0,8/7/1937,115,48294,4359,6/30/2002
3,"Norwest Bank Brighton, National Association",Colorado,0,1/1/1932,747,54974,1933,12/31/1994
13,M&I Central Bank & Trust,Wisconsin,0,9/1/1937,806,223514,17788,3/31/2001
21,Bank of Carbon Hill,Alabama,0,10/4/1937,126,33437,5224,3/31/2002
21,Security Bank & Trust Co.,Indiana,0,1/3/1938,1759,175008,14666,9/30/1999
3,Ellis First National Bank of Flagler County,Florida,0,1/27/1938,,,,
21,Citizens Bank,Georgia,0,1/1/1934,208,26154,3218,9/30/1986
13,United Bank of Iowa,Iowa,0,01/01/1889,-53,28550,2438,12/31/2000
3,The Huntington National Bank of Northeast Ohio,Ohio,0,2/21/1938,10759,1290556,112693,9/30/1984
21,Union Bank and Trust Company,Indiana,0,1/1/1938,527,92771,7066,3/31/1989
21,State Bank of Westphalia,Kansas,0,01/01/1890,49,4830,49,6/30/1986
21,Community First State Bank of Cooperstown,North Dakota,0,01/01/1890,823,54168,4996,12/31/1994
3,First National Bank,Oklahoma,0,9/1/1938,291,79890,10977,6/30/2011
21,Harrison County Bank,Indiana,0,9/10/1938,1040,90183,11718,12/31/1999
